optimizer,epoch,sampled_arch,best_arch,train_acc,val_acc,test_acc,train_time,reward,loss,entropy,wall_time_sec
bananas,27,"(4, 3, 0, 1, 2, 1)","(2, 3, 0, 1, 2, 1)",99.992,90.3,90.3,9.657959580421448,0.8654999999999999,,,14.935053209000001
bananas,28,"(0, 4, 3, 3, 4, 3)","(2, 3, 0, 1, 2, 1)",99.992,90.3,90.3,9.657959580421448,0.86,,,14.958476792
bananas,29,"(1, 3, 0, 1, 3, 1)","(2, 3, 0, 1, 2, 1)",99.992,90.3,90.3,9.657959580421448,0.8364,,,14.981933
bananas,30,"(1, 3, 0, 3, 3, 1)","(2, 3, 0, 1, 2, 1)",99.992,90.3,90.3,9.657959580421448,0.8384,,,15.004974709
bananas,31,"(3, 4, 0, 1, 4, 3)","(2, 3, 0, 1, 2, 1)",99.992,90.3,90.3,9.657959580421448,0.8676,,,21.881542500000002
bananas,32,"(2, 3, 0, 1, 2, 0)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.9089,,,21.904599667
bananas,33,"(3, 4, 0, 3, 4, 3)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.8733,,,21.927939375
bananas,34,"(3, 0, 1, 3, 0, 0)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.8694,,,21.951269417
bananas,35,"(3, 4, 0, 1, 0, 3)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.8706999999999999,,,22.215228417
bananas,36,"(3, 4, 0, 0, 4, 3)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.8740000000000001,,,22.239418375
bananas,37,"(3, 1, 0, 2, 0, 3)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.8996,,,22.262446624999995
bananas,38,"(3, 4, 0, 3, 3, 3)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.8829,,,22.285632958999997
bananas,39,"(3, 0, 1, 3, 4, 0)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.8711,,,22.308953459
bananas,40,"(3, 4, 0, 2, 4, 3)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.8916,,,22.332227834
bananas,41,"(2, 3, 0, 1, 2, 1)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.903,,,31.234144209
bananas,42,"(4, 1, 0, 2, 3, 1)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.853,,,31.258028916999997
bananas,43,"(2, 4, 3, 0, 2, 0)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.8848,,,31.281713875
bananas,44,"(2, 0, 0, 1, 2, 1)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.9074,,,31.305202
bananas,45,"(3, 1, 0, 2, 3, 0)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.8922,,,31.328579999999995
bananas,46,"(2, 3, 0, 1, 2, 4)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.9067000000000001,,,31.351994958999995
bananas,47,"(2, 4, 0, 4, 2, 2)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.9063,,,31.375674624999995
bananas,48,"(3, 1, 0, 2, 2, 0)","(2, 3, 0, 1, 2, 0)",99.984,90.89,90.89,9.424267391363779,0.8935,,,31.399411709
bananas,49,"(2, 0, 0, 4, 2, 2)","(2, 0, 0, 4, 2, 2)",99.996,90.92,90.92,10.922529677549997,0.9092,,,31.422893584
bananas,50,"(4, 2, 0, 2, 3, 1)","(2, 0, 0, 4, 2, 2)",99.996,90.92,90.92,10.922529677549997,0.8532,,,31.446659959
rl,1,"(4, 3, 2, 0, 0, 0)","(4, 3, 2, 0, 0, 0)",92.58399997558594,82.9,82.9,7.625387211640675,0.8290000000000001,-0.0961923748254776,9.619237899780273,0.04620020800000191
rl,2,"(3, 1, 2, 3, 0, 2)","(3, 1, 2, 3, 0, 2)",99.948,88.84,88.84,11.369333028793335,0.8884000000000001,0.4775083363056183,9.609906196594238,0.0721449170000028
rl,3,"(4, 2, 0, 0, 3, 1)","(3, 1, 2, 3, 0, 2)",99.948,88.84,88.84,11.369333028793335,0.8553000000000001,0.09457436203956604,9.625190734863281,0.09748554200000115
rl,4,"(2, 3, 0, 1, 3, 0)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.9052,0.5534489750862122,9.61496639251709,0.12353179200000142
rl,5,"(0, 0, 1, 0, 3, 3)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.862,0.07595460116863251,9.627035140991211,0.1480565000000027
